"Burbank"
"Building Documents"
"Download generated on 08/17/2026"
"https://ccpa.burbankca.gov/PublicAccess/cq-search/index.html"

Street No,Street Direction,Street Name,Permit No,Permit Type,Date Issued
3717,W,VICTORY BLVD,BS2209436,ACCESSORY DWELLING UNIT,7/19/2024
720,N,SCREENLAND DR,BS2412561,PLUMBING,12/23/2024
4311,,SARAH ST,BS2412576,MECHANICAL,12/23/2024
251,W,VERDUGO AVE,BS2412580,MECHANICAL,12/23/2024
251,W,VERDUGO AVE,BS2412581,MECHANICAL,12/23/2024
251,W,VERDUGO AVE,BS2412583,MECHANICAL,12/23/2024
251,W,VERDUGO AVE,BS2412584,MECHANICAL,12/23/2024
920,,KEMP ST,BS2412627,SINGLE-FAMILY REPAIR / MAINTENANCE,12/26/2024
122,S,SPARKS ST,BS2412633,SINGLE-FAMILY REPAIR / MAINTENANCE,12/26/2024
946,N,BRIGHTON ST,BS2412640,SINGLE-FAMILY REPAIR / MAINTENANCE,12/26/2024
4364,W,KLING ST,BS2412672,MECHANICAL,12/30/2024
118,S,BEACHWOOD DR,BS2412136,SINGLE-FAMILY REPAIR / MAINTENANCE,12/9/2024
711,N,FREDERIC ST,BS2412137,SINGLE-FAMILY REPAIR / MAINTENANCE,12/9/2024
1645,N,BUENA VISTA ST,BS2412138,SINGLE-FAMILY REPAIR / MAINTENANCE,12/9/2024
1330,N,MYERS ST,BS2412152,MECHANICAL,12/9/2024
1617,,CAMINO DE VILLAS,BS2412156,PLUMBING,12/9/2024
2100,N,PASS AVE,BS2412161,SINGLE-FAMILY REPAIR / MAINTENANCE,12/9/2024
807,N,ONTARIO ST,BS2412170,PLUMBING,12/9/2024
2007,N,VALLEY ST,BS2412191,PLUMBING,12/9/2024
711,N,BRIGHTON ST,BS2412192,ELECTRICAL,12/9/2024
3113,N,NAOMI ST,BS2412203,SINGLE-FAMILY REPAIR / MAINTENANCE,12/10/2024
525,S,BEL AIRE DR,BS2412219,ELECTRICAL,12/10/2024
531,S,BEACHWOOD DR,BS2412225,MECHANICAL,12/10/2024
853,,CLYBOURN AVE,BS2412243,ELECTRICAL,12/11/2024
3400,,RIVERSIDE DR,BS2412263,PLUMBING,12/11/2024
2030,,BONITA AVE,BS2412264,MECHANICAL,12/11/2024
238,W,CEDAR AVE,BS2412274,SINGLE-FAMILY REPAIR / MAINTENANCE,12/12/2024
3154,,JOLLEY DR,BS2412290,MECHANICAL,12/12/2024
1505,N,LIMA ST,BS2412325,SINGLE-FAMILY REPAIR / MAINTENANCE,12/13/2024
350,N,SPARKS ST,BS2412326,MECHANICAL,12/13/2024
230,,BETHANY RD,BS2411907,PLUMBING,12/2/2024
609,E,PALM AVE,BS2411909,PLUMBING,12/2/2024
2300,N,SPARKS ST,BS2411913,SINGLE-FAMILY REPAIR / MAINTENANCE,12/2/2024
4010,W,VICTORY BLVD,BS2411959,SINGLE-FAMILY REPAIR / MAINTENANCE,12/3/2024
1731,,EVERGREEN ST,BS2411976,SINGLE-FAMILY REPAIR / MAINTENANCE,12/3/2024
900,N,PARISH PL,BS2412041,MECHANICAL,12/4/2024
653,S,ORCHARD DR,BS2412071,PLUMBING,12/5/2024
551,S,PARISH PL,BS2412072,SINGLE-FAMILY REPAIR / MAINTENANCE,12/5/2024
528,N,GRIFFITH PARK DR,BS2412119,SINGLE-FAMILY REPAIR / MAINTENANCE,12/6/2024
1724,N,FREDERIC ST,BS2412356,PLUMBING,12/16/2024
2214,N,BUENA VISTA ST,BS2412371,PLUMBING,12/16/2024
411,N,CATALINA ST,BS2412379,SINGLE-FAMILY REPAIR / MAINTENANCE,12/16/2024
1112,N,CALIFORNIA ST,BS2412417,PLUMBING,12/18/2024
417,N,CORDOVA ST,BS2412423,SINGLE-FAMILY REPAIR / MAINTENANCE,12/18/2024
505,S,GRIFFITH PARK DR,BS2412445,PLUMBING,12/18/2024
3206,,WYOMING AVE,BS2412458,SINGLE-FAMILY REPAIR / MAINTENANCE,12/18/2024
2343,N,REESE PL,BS2412463,MECHANICAL,12/18/2024
231,,BETHANY RD,BS2412474,PLUMBING,12/19/2024
3320,N,SAN FERNANDO BLVD,BS2412475,PLUMBING,12/19/2024
4364,W,KLING ST,BS2412509,ELECTRICAL,12/19/2024
2700,,KINGSWAY DR,BS2412537,MECHANICAL,12/20/2024
2408,,CHANDLER BLVD,BS2411009,PLUMBING,11/1/2024
1816,,ROSITA AVE,BS2411023,PLUMBING,11/1/2024
1045,,HARVARD RD,BS2411035,SINGLE-FAMILY REPAIR / MAINTENANCE,11/1/2024
1715,N,BRIGHTON ST,BS2411076,PLUMBING,11/4/2024
753,S,MARIPOSA ST,BS2411099,PLUMBING,11/5/2024
1335,N,BRIGHTON ST,BS2411131,SINGLE-FAMILY REPAIR / MAINTENANCE,11/5/2024
2007,,KAREN ST,BS2411132,SINGLE-FAMILY REPAIR / MAINTENANCE,11/5/2024
1909,,MANNING ST,BS2411151,MECHANICAL,11/5/2024
742,,IRVING DR,BS2411160,PLUMBING,11/6/2024
441,S,GRIFFITH PARK DR,BS2411161,PLUMBING,11/6/2024
1105,N,GRIFFITH PARK DR,BS2411166,SINGLE-FAMILY REPAIR / MAINTENANCE,11/6/2024
601,N,VALLEY ST,BS2411192,PLUMBING,11/7/2024
2415,N,KEYSTONE ST,BS2411209,MECHANICAL,11/7/2024
208,N,CATALINA ST,BS2411259,SINGLE-FAMILY REPAIR / MAINTENANCE,11/12/2024
712,E,ELMWOOD AVE,BS2411285,PLUMBING,11/9/2024
508,N,FAIRVIEW ST,BS2411294,PLUMBING,11/12/2024
1900,N,SCREENLAND DR,BS2411298,PLUMBING,11/12/2024
1711,,GRISMER AVE,BS2411299,PLUMBING,11/12/2024
209,N,NIAGARA ST,BS2411310,MECHANICAL,11/12/2024
621,N,FLORENCE ST,BS2411358,SINGLE-FAMILY REPAIR / MAINTENANCE,11/13/2024
1456,N,PASS AVE,BS2411368,PLUMBING,11/13/2024
2611,N,LINCOLN ST,BS2411405,SINGLE-FAMILY REPAIR / MAINTENANCE,11/13/2024
1916,,EVERGREEN ST,BS2411426,MECHANICAL,11/14/2024
834,,KEMP ST,BS2411453,SINGLE-FAMILY REPAIR / MAINTENANCE,11/14/2024
334,W,ELM AVE,BS2411464,SINGLE-FAMILY REPAIR / MAINTENANCE,11/14/2024
234,N,LIMA ST,BS2411486,SINGLE-FAMILY REPAIR / MAINTENANCE,11/15/2024
244,S,MARIPOSA ST,BS2411519,SINGLE-FAMILY REPAIR / MAINTENANCE,11/15/2024
244,S,MARIPOSA ST,BS2411520,SINGLE-FAMILY REPAIR / MAINTENANCE,11/15/2024
1102,W,ANGELENO AVE,BS2411529,MULTI-FAMILY REPAIR AND MAINTENANCE,11/18/2024
208,N,CATALINA ST,BS2411534,PLUMBING,11/18/2024
1726,,EVERGREEN ST,BS2411557,SINGLE-FAMILY REPAIR / MAINTENANCE,11/18/2024
524,N,GRIFFITH PARK DR,BS2411569,SINGLE-FAMILY REPAIR / MAINTENANCE,11/18/2024
3906,,CHANDLER BLVD,BS2411573,SINGLE-FAMILY REPAIR / MAINTENANCE,11/19/2024
1215,N,PASS AVE,BS2411603,PLUMBING,11/19/2024
425,E,CYPRESS AVE,BS2411624,ELECTRICAL,11/20/2024
1706,,GRISMER AVE,BS2411641,MECHANICAL,11/20/2024
918,N,MAPLE ST,BS2411642,MECHANICAL,11/20/2024
650,N,KENWOOD ST,BS2411670,ELECTRICAL,11/21/2024
1917,,EVERGREEN ST,BS2411671,MECHANICAL,11/21/2024
1712,,PARKSIDE AVE,BS2411747,MECHANICAL,11/22/2024
2036,N,KENWOOD ST,BS2411750,SINGLE-FAMILY REPAIR / MAINTENANCE,11/24/2024
700,,CLYBOURN AVE,BS2411752,SINGLE-FAMILY REPAIR / MAINTENANCE,11/24/2024
1751,N,MAPLE ST,BS2411753,SINGLE-FAMILY REPAIR / MAINTENANCE,11/24/2024
1831,N,MAPLE ST,BS2411754,SINGLE-FAMILY REPAIR / MAINTENANCE,11/24/2024
324,S,LOMITA ST,BS2411768,SINGLE-FAMILY REPAIR / MAINTENANCE,11/25/2024
1335,N,BRIGHTON ST,BS2411790,MECHANICAL,11/25/2024
240,N,LINCOLN ST,BS2411802,SINGLE-FAMILY REPAIR / MAINTENANCE,11/26/2024
4000,W,CLARK AVE,BS2411812,SINGLE-FAMILY REPAIR / MAINTENANCE,11/26/2024
421,E,SANTA ANITA AVE,BS2411857,MULTI-FAMILY REPAIR AND MAINTENANCE,11/26/2024
751,S,MARIPOSA ST,BS2410632,PLUMBING,10/23/2024
1311,N,ONTARIO ST,BS2412555,SINGLE-FAMILY REPAIR / MAINTENANCE,12/20/2024
250,N,FIRST ST,BS2412135,ELECTRICAL,12/18/2024
147,N,FLORENCE ST,BS2412341,MECHANICAL,12/15/2024
3407,,WYOMING AVE,BS2410664,SINGLE-FAMILY REPAIR / MAINTENANCE,10/23/2024
835,N,ROSE ST,BS2410682,SINGLE-FAMILY REPAIR / MAINTENANCE,10/23/2024
504,E,VALENCIA AVE,BS2410695,MULTI-FAMILY REPAIR AND MAINTENANCE,10/24/2024
707,N,MAPLE ST,BS2410697,SINGLE-FAMILY REPAIR / MAINTENANCE,10/28/2024
2625,N,LINCOLN ST,BS2410699,PLUMBING,10/24/2024
2927,,ROLLING RIDGE DR,BS2410713,PLUMBING,10/24/2024
400,N,LINCOLN ST,BS2410723,SINGLE-FAMILY REPAIR / MAINTENANCE,10/24/2024
611,E,SAN JOSE AVE,BS2410766,SINGLE-FAMILY REPAIR / MAINTENANCE,10/27/2024
2615,W,VICTORY BLVD,BS2410767,SINGLE-FAMILY REPAIR / MAINTENANCE,10/28/2024
2611,N,LINCOLN ST,BS2410768,MECHANICAL,10/24/2024
418,N,MARIPOSA ST,BS2410771,PLUMBING,10/25/2024
1310,N,KENWOOD ST,BS2410793,SINGLE-FAMILY REPAIR / MAINTENANCE,10/25/2024
1066,,CLYBOURN AVE,BS2410843,SINGLE-FAMILY REPAIR / MAINTENANCE,10/28/2024
2517,N,MYERS ST,BS2410877,SINGLE-FAMILY REPAIR / MAINTENANCE,10/29/2024
649,S,REESE PL,BS2410897,PLUMBING,10/29/2024
2442,N,LAMER ST,BS2410903,SINGLE-FAMILY REPAIR / MAINTENANCE,10/29/2024
630,N,BEACHWOOD DR,BS2410931,SINGLE-FAMILY REPAIR / MAINTENANCE,10/30/2024
2301,,SCOTT RD,BS2410950,PLUMBING,10/31/2024
710,E,ELMWOOD AVE,BS2410965,MECHANICAL,10/31/2024
851,N,CALIFORNIA ST,BS2410974,MECHANICAL,10/31/2024
1730,,ROGERS PL,BS2409895,MULTI-FAMILY REPAIR AND MAINTENANCE,10/2/2024
2046,N,FREDERIC ST,BS2409897,PLUMBING,10/2/2024
500,S,GLENWOOD PL,BS2409906,SINGLE-FAMILY REPAIR / MAINTENANCE,10/2/2024
1304,N,GRIFFITH PARK DR,BS2409921,SINGLE-FAMILY REPAIR / MAINTENANCE,10/2/2024
417,N,GRIFFITH PARK DR,BS2409970,SINGLE-FAMILY REPAIR / MAINTENANCE,10/4/2024
1921,,EVERGREEN ST,BS2410011,SINGLE-FAMILY REPAIR / MAINTENANCE,10/7/2024
1334,N,CALIFORNIA ST,BS2410014,SINGLE-FAMILY REPAIR / MAINTENANCE,10/7/2024
951,N,ONTARIO ST,BS2410017,SINGLE-FAMILY REPAIR / MAINTENANCE,10/7/2024
2020,N,KENWOOD ST,BS2410035,SINGLE-FAMILY REPAIR / MAINTENANCE,10/7/2024
1844,,AYERS WAY,BS2410050,SINGLE-FAMILY REPAIR / MAINTENANCE,10/7/2024
1844,,AYERS WAY,BS2410051,ELECTRICAL,10/8/2024
1844,,AYERS WAY,BS2410073,SINGLE-FAMILY REPAIR / MAINTENANCE,10/8/2024
2930,N,SAN FERNANDO BLVD,BS2410087,PLUMBING,10/8/2024
355,N,MAPLE ST,BS2410109,MECHANICAL,10/9/2024
2438,N,NAOMI ST,BS2410125,SINGLE-FAMILY REPAIR / MAINTENANCE,10/9/2024
621,N,FREDERIC ST,BS2410165,PLUMBING,10/10/2024
4001,W,VERDUGO AVE,BS2410241,MULTI-FAMILY REPAIR AND MAINTENANCE,10/11/2024
2745,N,BRIGHTON ST,BS2410259,SINGLE-FAMILY REPAIR / MAINTENANCE,10/12/2024
916,N,FREDERIC ST,BS2410290,SINGLE-FAMILY REPAIR / MAINTENANCE,10/14/2024
1704,N,NAOMI ST,BS2410305,SINGLE-FAMILY REPAIR / MAINTENANCE,10/14/2024
2020,,EVERGREEN ST,BS2410344,SINGLE-FAMILY REPAIR / MAINTENANCE,10/15/2024
436,S,SPARKS ST,BS2410357,PLUMBING,10/15/2024
1104,N,ROSE ST,BS2410366,MECHANICAL,10/18/2024
1032,N,AVON ST,BS2410368,MECHANICAL,10/15/2024
230,N,HOLLYWOOD WAY,BS2410371,ELECTRICAL,10/15/2024
131,S,VIRGINIA AVE,BS2410380,SINGLE-FAMILY REPAIR / MAINTENANCE,10/15/2024
1616,,PEPPER ST,BS2410383,SINGLE-FAMILY REPAIR / MAINTENANCE,10/15/2024
706,,GROTON DR,BS2410388,MECHANICAL,10/16/2024
232,S,GRIFFITH PARK DR,BS2410406,SINGLE-FAMILY REPAIR / MAINTENANCE,10/16/2024
1050,E,PALM AVE,BS2410409,MECHANICAL,10/16/2024
3103,,WYOMING AVE,BS2410412,PLUMBING,10/16/2024
619,,AMHERST DR,BS2410414,SINGLE-FAMILY REPAIR / MAINTENANCE,10/16/2024
4250,,NATIONAL AVE,BS2410485,SINGLE-FAMILY REPAIR / MAINTENANCE,10/18/2024
1110,N,FREDERIC ST,BS2410497,MECHANICAL,10/18/2024
830,N,FAIRVIEW ST,BS2410501,MECHANICAL,10/18/2024
414,S,LAMER ST,BS2410520,MECHANICAL,10/18/2024
115,,EVERGREEN ST,BS2410527,MECHANICAL,10/20/2024
2045,N,HOLLYWOOD WAY,BS2410536,PLUMBING,10/21/2024
731,,COUNTRY CLUB DR,BS2410555,PLUMBING,10/21/2024
3319,,CASTLEMAN LN,BS2410572,PLUMBING,10/22/2024
436,S,SPARKS ST,BS2410576,PLUMBING,10/22/2024
814,N,MYERS ST,BS2410579,PLUMBING,10/22/2024
1813,N,PASS AVE,BS2410580,PLUMBING,10/22/2024
543,N,FAIRVIEW ST,BS2410596,MULTI-FAMILY REPAIR AND MAINTENANCE,10/22/2024
2757,N,FREDERIC ST,BS2410630,SINGLE-FAMILY REPAIR / MAINTENANCE,10/23/2024
822,E,SAN JOSE AVE,BS2408834,PLUMBING,9/2/2024
1120,,CHURCHS CT,BS2408836,ELECTRICAL,9/2/2024
240,N,NAOMI ST,BS2408840,SINGLE-FAMILY REPAIR / MAINTENANCE,9/3/2024
738,S,GRIFFITH PARK DR,BS2408841,SINGLE-FAMILY REPAIR / MAINTENANCE,9/3/2024
305,N,FREDERIC ST,BS2408872,SINGLE-FAMILY REPAIR / MAINTENANCE,9/3/2024
326,E,VALENCIA AVE,BS2408909,MECHANICAL,9/4/2024
2101,,MONTEREY AVE,BS2408910,MECHANICAL,9/4/2024
2101,,MONTEREY AVE,BS2408911,ELECTRICAL,9/4/2024
1006,,BETHANY RD,BS2409021,SINGLE-FAMILY REPAIR / MAINTENANCE,9/5/2024
237,S,SPARKS ST,BS2409043,SINGLE-FAMILY REPAIR / MAINTENANCE,9/6/2024
1714,N,CALIFORNIA ST,BS2409048,PLUMBING,9/6/2024
415,,AMHERST DR,BS2409062,MECHANICAL,9/7/2024
529,,GROTON DR,BS2409064,SINGLE-FAMILY REPAIR / MAINTENANCE,9/7/2024
3027,N,BUENA VISTA ST,BS2409151,MECHANICAL,9/10/2024
858,N,VALLEY ST,BS2409205,PLUMBING,9/11/2024
3238,N,FREDERIC ST,BS2409212,PLUMBING,9/12/2024
321,S,LOMITA ST,BS2409215,MECHANICAL,9/12/2024
520,,ANDOVER DR,BS2409238,PLUMBING,9/13/2024
2514,N,LAMER ST,BS2409246,SINGLE-FAMILY REPAIR / MAINTENANCE,9/12/2024
1231,N,MAPLE ST,BS2409252,PLUMBING,9/13/2024
1140,N,CATALINA ST,BS2409258,MECHANICAL,9/13/2024
1820,N,KENWOOD ST,BS2409310,SINGLE-FAMILY REPAIR / MAINTENANCE,9/15/2024
4225,,MC FARLANE AVE,BS2409313,SINGLE-FAMILY REPAIR / MAINTENANCE,9/16/2024
926,E,ELMWOOD AVE,BS2409318,SINGLE-FAMILY REPAIR / MAINTENANCE,9/16/2024
1100,N,CATALINA ST,BS2409326,ELECTRICAL,9/16/2024
410,N,MARIPOSA ST,BS2409331,MECHANICAL,9/16/2024
1837,N,ROSE ST,BS2409335,MECHANICAL,9/16/2024
2207,N,REESE PL,BS2409376,SINGLE-FAMILY REPAIR / MAINTENANCE,9/17/2024
918,,CORNELL DR,BS2409377,SINGLE-FAMILY REPAIR / MAINTENANCE,9/17/2024
3032,,TRUDI LN,BS2409394,SINGLE-FAMILY REPAIR / MAINTENANCE,9/17/2024
1605,N,FAIRVIEW ST,BS2409396,MECHANICAL,9/17/2024
3518,,HAVEN WAY,BS2409410,SINGLE-FAMILY REPAIR / MAINTENANCE,9/17/2024
4116,W,KLING ST,BS2409418,MECHANICAL,9/18/2024
2001,N,FAIRVIEW ST,BS2409420,MECHANICAL,9/18/2024
917,N,BRIGHTON ST,BS2409435,SINGLE-FAMILY REPAIR / MAINTENANCE,9/18/2024
340,N,SPARKS ST,BS2409437,SINGLE-FAMILY REPAIR / MAINTENANCE,9/18/2024
426,E,CEDAR AVE,BS2409438,ELECTRICAL,9/18/2024
3106,N,LAMER ST,BS2409460,SINGLE-FAMILY REPAIR / MAINTENANCE,9/19/2024
4401,W,VERDUGO AVE,BS2409486,MECHANICAL,9/19/2024
221,N,BEACHWOOD DR,BS2409489,SINGLE-FAMILY REPAIR / MAINTENANCE,9/19/2024
712,,UCLAN DR,BS2409515,SINGLE-FAMILY REPAIR / MAINTENANCE,9/20/2024
1100,N,CATALINA ST,BS2409529,MECHANICAL,9/20/2024
1100,N,CATALINA ST,BS2409530,PLUMBING,9/20/2024
2321,W,CLARK AVE,BS2409535,MECHANICAL,9/22/2024
1521,N,CATALINA ST,BS2409554,PLUMBING,9/23/2024
1721,N,NAOMI ST,BS2409573,PLUMBING,9/23/2024
3409,,CHANDLER BLVD,BS2409576,ELECTRICAL,9/23/2024
572,E,SAN JOSE AVE,BS2409582,MECHANICAL,9/24/2024
2514,N,GLENOAKS BLVD,BS2409584,MULTI-FAMILY REPAIR AND MAINTENANCE,9/24/2024
2141,N,VALLEY ST,BS2409660,PLUMBING,9/25/2024
1824,,HILTON DR,BS2409672,MECHANICAL,9/25/2024
322,N,LOMITA ST,BS2409688,MECHANICAL,9/26/2024
700,N,FREDERIC ST,BS2409704,SINGLE-FAMILY REPAIR / MAINTENANCE,9/26/2024
1122,N,SPARKS ST,BS2409721,SINGLE-FAMILY REPAIR / MAINTENANCE,9/26/2024
435,E,ELMWOOD AVE,BS2409772,SINGLE-FAMILY REPAIR / MAINTENANCE,9/27/2024
1806,,KAREN ST,BS2409787,SINGLE-FAMILY REPAIR / MAINTENANCE,9/27/2024
1801,N,KENNETH RD,BS2409794,PLUMBING,10/2/2024
2108,,MANNING ST,BS2409817,SINGLE-FAMILY REPAIR / MAINTENANCE,9/30/2024
3131,N,FREDERIC ST,BS2409826,SINGLE-FAMILY REPAIR / MAINTENANCE,9/30/2024
2701,N,FREDERIC ST,BS2409832,SINGLE-FAMILY REPAIR / MAINTENANCE,9/30/2024
1331,N,AVON ST,BS2409839,SINGLE-FAMILY REPAIR / MAINTENANCE,9/30/2024
637,N,FAIRVIEW ST,BS2407834,PLUMBING,8/2/2024
1524,,GRISMER AVE,BS2407886,ELECTRICAL,8/5/2024
735,,DOAN DR,BS2407917,SINGLE-FAMILY REPAIR / MAINTENANCE,8/5/2024
736,,IRVING DR,BS2407919,SINGLE-FAMILY REPAIR / MAINTENANCE,8/6/2024
2100,N,VALLEY ST,BS2408017,PLUMBING,8/8/2024
3348,N,LAMER ST,BS2408080,SINGLE-FAMILY REPAIR / MAINTENANCE,8/9/2024
911,E,OLIVE AVE,BS2408101,MECHANICAL,8/10/2024
644,E,CEDAR AVE,BS2408109,MULTI-FAMILY REPAIR AND MAINTENANCE,8/12/2024
606,,CORNELL DR,BS2408130,SINGLE-FAMILY REPAIR / MAINTENANCE,8/12/2024
709,E,ELMWOOD AVE,BS2408133,SINGLE-FAMILY REPAIR / MAINTENANCE,8/12/2024
310,E,PROVIDENCIA AVE,BS2408135,PLUMBING,8/12/2024
4401,,JACARANDA AVE,BS2408140,SINGLE-FAMILY REPAIR / MAINTENANCE,8/12/2024
930,N,VALLEY ST,BS2408142,SINGLE-FAMILY REPAIR / MAINTENANCE,8/12/2024
536,N,BRIGHTON ST,BS2408192,PLUMBING,8/13/2024
1408,N,NAOMI ST,BS2408243,SINGLE-FAMILY REPAIR / MAINTENANCE,8/14/2024
1740,N,BUENA VISTA ST,BS2408259,SINGLE-FAMILY REPAIR / MAINTENANCE,8/15/2024
4513,W,CLARK AVE,BS2408261,SINGLE-FAMILY REPAIR / MAINTENANCE,8/15/2024
1722,,EVERGREEN ST,BS2408317,MECHANICAL,8/16/2024
3030,,JOLLEY DR,BS2408360,PLUMBING,8/19/2024
811,,HARVARD RD,BS2408379,SINGLE-FAMILY REPAIR / MAINTENANCE,8/19/2024
1033,N,AVON ST,BS2408438,SINGLE-FAMILY REPAIR / MAINTENANCE,8/20/2024
2405,,CHANDLER BLVD,BS2408441,MECHANICAL,8/20/2024
1912,,PEPPER ST,BS2408482,MECHANICAL,8/21/2024
503,,DELAWARE RD,BS2408488,MECHANICAL,8/21/2024
1701,N,FREDERIC ST,BS2408489,SINGLE-FAMILY REPAIR / MAINTENANCE,8/21/2024
1310,N,ORCHARD DR,BS2408507,MECHANICAL,8/22/2024
1232,N,VALLEY ST,BS2408513,MECHANICAL,8/22/2024
423,,CORNELL DR,BS2408523,ELECTRICAL,8/22/2024
1751,N,ROSE ST,BS2408608,ELECTRICAL,8/26/2024
715,E,VALENCIA AVE,BS2408609,SINGLE-FAMILY REPAIR / MAINTENANCE,8/26/2024
544,E,CYPRESS AVE,BS2408632,MECHANICAL,8/26/2024
1711,,GRISMER AVE,BS2408634,MECHANICAL,8/26/2024
2429,N,ORCHARD DR,BS2408664,SINGLE-FAMILY REPAIR / MAINTENANCE,8/27/2024
1723,,LANDIS ST,BS2408718,PLUMBING,8/28/2024
404,N,LINCOLN ST,BS2408725,MECHANICAL,8/28/2024
1221,N,SPARKS ST,BS2408731,MECHANICAL,8/28/2024
135,S,SPARKS ST,BS2408744,PLUMBING,8/29/2024
4212,,TOLUCA LAKE AVE,BS2408745,SINGLE-FAMILY REPAIR / MAINTENANCE,8/29/2024
3116,W,MAGNOLIA BLVD,BS2408763,PLUMBING,8/29/2024
401,S,SPARKS ST,BS2408769,SINGLE-FAMILY REPAIR / MAINTENANCE,8/30/2024
4206,W,VICTORY BLVD,BS2408773,SINGLE-FAMILY REPAIR / MAINTENANCE,8/30/2024
1044,N,PASS AVE,BS2408799,PLUMBING,8/30/2024
1010,N,NIAGARA ST,BS2406650,SINGLE-FAMILY REPAIR / MAINTENANCE,7/1/2024
408,N,BEACHWOOD DR,BS2406655,SINGLE-FAMILY REPAIR / MAINTENANCE,7/1/2024
2101,,MONTEREY AVE,BS2406658,ELECTRICAL,7/1/2024
411,N,CATALINA ST,BS2406672,SINGLE-FAMILY REPAIR / MAINTENANCE,7/1/2024
925,N,BEL AIRE DR,BS2406691,PLUMBING,7/1/2024
2807,N,LINCOLN ST,BS2406706,PLUMBING,7/2/2024
2216,N,PARISH PL,BS2406712,MECHANICAL,7/2/2024
406,,BETHANY RD,BS2406728,SINGLE-FAMILY REPAIR / MAINTENANCE,7/2/2024
2005,,EVERGREEN ST,BS2406756,SINGLE-FAMILY REPAIR / MAINTENANCE,7/3/2024
1712,N,NIAGARA ST,BS2406758,SINGLE-FAMILY REPAIR / MAINTENANCE,7/3/2024
430,,AMHERST DR,BS2406769,MECHANICAL,7/3/2024
1214,N,CATALINA ST,BS2406771,SINGLE-FAMILY REPAIR / MAINTENANCE,7/3/2024
1102,N,PASS AVE,BS2406776,SINGLE-FAMILY REPAIR / MAINTENANCE,7/3/2024
525,E,VALENCIA AVE,BS2406795,MULTI-FAMILY REPAIR AND MAINTENANCE,7/5/2024
1219,N,MYERS ST,BS2406796,SINGLE-FAMILY REPAIR / MAINTENANCE,7/5/2024
355,N,MAPLE ST,BS2406812,PLUMBING,7/5/2024
430,,FAIRMOUNT RD,BS2406900,SINGLE-FAMILY REPAIR / MAINTENANCE,7/10/2024
411,N,CATALINA ST,BS2406910,SINGLE-FAMILY REPAIR / MAINTENANCE,9/17/2024
3509,,CASTLEMAN LN,BS2406953,PLUMBING,7/10/2024
3206,,WHITNEY LN,BS2406955,PLUMBING,7/10/2024
431,N,FLORENCE ST,BS2406977,SINGLE-FAMILY REPAIR / MAINTENANCE,7/10/2024
2201,W,CLARK AVE,BS2406983,SINGLE-FAMILY REPAIR / MAINTENANCE,7/10/2024
3815,W,BURBANK BLVD,BS2406993,MECHANICAL,7/10/2024
1000,N,SUNSET CANYON DR,BS2407003,SINGLE-FAMILY REPAIR / MAINTENANCE,7/11/2024
721,,COUNTRY CLUB DR,BS2407011,MECHANICAL,7/11/2024
1140,N,AVON ST,BS2407022,SINGLE-FAMILY REPAIR / MAINTENANCE,7/11/2024
1401,,VALLEYHEART DR,BS2407032,SINGLE-FAMILY REPAIR / MAINTENANCE,8/16/2024
3011,N,BUENA VISTA ST,BS2407068,SINGLE-FAMILY REPAIR / MAINTENANCE,7/12/2024
400,,RIVERSIDE DR,BS2407077,MULTI-FAMILY REPAIR AND MAINTENANCE,8/1/2024
411,N,CATALINA ST,BS2407078,ELECTRICAL,7/17/2024
526,N,CALIFORNIA ST,BS2407079,MECHANICAL,7/12/2024
411,N,CATALINA ST,BS2407088,PLUMBING,7/12/2024
812,,GROTON DR,BS2407115,ELECTRICAL,7/15/2024
447,S,LAMER ST,BS2407165,MECHANICAL,7/15/2024
3907,W,ALAMEDA AVE,BS2407172,MULTI-FAMILY REPAIR AND MAINTENANCE,7/15/2024
1921,N,VALLEY ST,BS2407186,SINGLE-FAMILY REPAIR / MAINTENANCE,7/16/2024
1117,N,PARISH PL,BS2407227,PLUMBING,7/17/2024
2800,N,KEYSTONE ST,BS2407254,SINGLE-FAMILY REPAIR / MAINTENANCE,7/17/2024
609,N,LINCOLN ST,BS2407295,MECHANICAL,7/18/2024
2121,,SCOTT RD,BS2407328,MECHANICAL,7/19/2024
902,E,OLIVE AVE,BS2407329,MECHANICAL,7/19/2024
2702,N,LAMER ST,BS2407338,SINGLE-FAMILY REPAIR / MAINTENANCE,7/19/2024
707,S,GRIFFITH PARK DR,BS2407377,MECHANICAL,7/22/2024
2702,,CHANDLER BLVD,BS2407383,SINGLE-FAMILY REPAIR / MAINTENANCE,7/22/2024
713,S,REESE PL,BS2407385,SINGLE-FAMILY REPAIR / MAINTENANCE,7/22/2024
4310,W,KLING ST,BS2407427,MULTI-FAMILY REPAIR AND MAINTENANCE,7/23/2024
1238,N,PASS AVE,BS2407436,PLUMBING,7/23/2024
926,N,CATALINA ST,BS2407449,MECHANICAL,7/23/2024
528,E,CEDAR AVE,BS2407465,PLUMBING,7/29/2024
813,N,ROSE ST,BS2407520,MECHANICAL,7/25/2024
2025,N,ROSE ST,BS2407531,SINGLE-FAMILY REPAIR / MAINTENANCE,7/25/2024
3300,,CHANDLER BLVD,BS2407534,MECHANICAL,7/25/2024
3027,,AMIGOS DR,BS2407537,MECHANICAL,7/25/2024
